dataset,target_size,algorithm,props,oa,aa,k,fold
ghisaconus_health,2,c4,0,0.54,0.47,0.43,0
ghisaconus_health,2,c4,0,0.55,0.47,0.43,1
ghisaconus_health,2,c4,0,0.53,0.46,0.41,2
ghisaconus_health,2,c4,0,0.54,0.46,0.42,3
ghisaconus_health,2,c4,0,0.54,0.47,0.42,4
ghisaconus_health,2,c4,0,0.53,0.44,0.41,5
ghisaconus_health,2,c4,0,0.51,0.44,0.39,6
ghisaconus_health,2,c4,0,0.54,0.46,0.42,7
ghisaconus_health,2,c4,0,0.53,0.46,0.41,8
ghisaconus_health,2,c4,0,0.54,0.46,0.42,9
ghisaconus_health,2,c4,0,0.54,0.45,0.42,10
ghisaconus_health,2,c4,0,0.52,0.45,0.39,11
ghisaconus_health,2,c4,0,0.53,0.46,0.41,12
ghisaconus_health,2,c4,0,0.53,0.45,0.4,13
ghisaconus_health,2,c4,0,0.54,0.47,0.43,14
ghisaconus_health,2,c4,0,0.54,0.46,0.43,15
ghisaconus_health,2,c4,0,0.52,0.44,0.4,16
ghisaconus_health,2,c4,0,0.51,0.42,0.38,17
ghisaconus_health,2,c4,0,0.53,0.45,0.42,18
ghisaconus_health,2,c4,0,0.53,0.47,0.42,19
ghisaconus_health,3,c4,0,0.57,0.56,0.47,0
ghisaconus_health,3,c4,0,0.59,0.56,0.49,1
ghisaconus_health,3,c4,0,0.6,0.56,0.51,2
ghisaconus_health,3,c4,0,0.59,0.54,0.49,3
ghisaconus_health,3,c4,0,0.57,0.53,0.47,4
ghisaconus_health,3,c4,0,0.6,0.57,0.5,5
ghisaconus_health,3,c4,0,0.58,0.55,0.48,6
ghisaconus_health,3,c4,0,0.59,0.55,0.48,7
ghisaconus_health,3,c4,0,0.55,0.53,0.45,8
ghisaconus_health,3,c4,0,0.59,0.56,0.49,9
ghisaconus_health,3,c4,0,0.58,0.54,0.47,10
ghisaconus_health,3,c4,0,0.58,0.54,0.48,11
ghisaconus_health,3,c4,0,0.58,0.51,0.47,12
ghisaconus_health,3,c4,0,0.57,0.5,0.46,13
ghisaconus_health,3,c4,0,0.59,0.56,0.5,14
ghisaconus_health,3,c4,0,0.59,0.54,0.49,15
ghisaconus_health,3,c4,0,0.56,0.51,0.46,16
ghisaconus_health,3,c4,0,0.57,0.49,0.45,17
ghisaconus_health,3,c4,0,0.59,0.55,0.49,18
ghisaconus_health,3,c4,0,0.59,0.53,0.49,19
ghisaconus_health,4,c4,0,0.6,0.55,0.5,0
ghisaconus_health,4,c4,0,0.62,0.57,0.52,1
ghisaconus_health,4,c4,0,0.61,0.57,0.51,2
ghisaconus_health,4,c4,0,0.61,0.57,0.51,3
ghisaconus_health,4,c4,0,0.6,0.57,0.5,4
ghisaconus_health,4,c4,0,0.6,0.56,0.5,5
ghisaconus_health,4,c4,0,0.61,0.55,0.51,6
ghisaconus_health,4,c4,0,0.63,0.59,0.54,7
ghisaconus_health,4,c4,0,0.58,0.54,0.47,8
ghisaconus_health,4,c4,0,0.61,0.59,0.52,9
ghisaconus_health,4,c4,0,0.6,0.55,0.5,10
ghisaconus_health,4,c4,0,0.59,0.56,0.49,11
ghisaconus_health,4,c4,0,0.61,0.57,0.51,12
ghisaconus_health,4,c4,0,0.61,0.54,0.51,13
ghisaconus_health,4,c4,0,0.6,0.56,0.51,14
ghisaconus_health,4,c4,0,0.61,0.56,0.51,15
ghisaconus_health,4,c4,0,0.58,0.52,0.48,16
ghisaconus_health,4,c4,0,0.59,0.54,0.49,17
