fold,dataset,oa,aa,k
14,paviaU,0.923,0.902,0.898
15,paviaU,0.915,0.9,0.888
16,paviaU,0.923,0.902,0.898
17,paviaU,0.921,0.901,0.895
18,paviaU,0.922,0.9,0.897
19,paviaU,0.922,0.9,0.896
0,salinas,0.921,0.963,0.912
1,salinas,0.916,0.958,0.907
2,salinas,0.919,0.959,0.91
3,salinas,0.921,0.957,0.912
4,salinas,0.921,0.959,0.912
5,salinas,0.919,0.959,0.91
6,salinas,0.922,0.963,0.913
7,salinas,0.923,0.963,0.915
8,salinas,0.915,0.956,0.906
9,salinas,0.922,0.96,0.913
10,salinas,0.918,0.961,0.909
11,salinas,0.92,0.961,0.911
12,salinas,0.919,0.96,0.91
13,salinas,0.922,0.959,0.913
14,salinas,0.921,0.957,0.912
15,salinas,0.917,0.956,0.908
16,salinas,0.917,0.958,0.908
17,salinas,0.919,0.956,0.909
18,salinas,0.92,0.961,0.911
19,salinas,0.921,0.96,0.912
0,indian_pines,0.732,0.619,0.693
1,indian_pines,0.745,0.608,0.708
2,indian_pines,0.725,0.633,0.686
3,indian_pines,0.735,0.606,0.696
4,indian_pines,0.723,0.594,0.681
5,indian_pines,0.752,0.638,0.716
6,indian_pines,0.744,0.649,0.707
7,indian_pines,0.731,0.623,0.692
8,indian_pines,0.741,0.64,0.703
9,indian_pines,0.74,0.607,0.703
10,indian_pines,0.737,0.598,0.698
11,indian_pines,0.743,0.622,0.706
12,indian_pines,0.74,0.604,0.703
13,indian_pines,0.761,0.635,0.726
14,indian_pines,0.747,0.644,0.71
15,indian_pines,0.747,0.633,0.71
16,indian_pines,0.725,0.618,0.685
17,indian_pines,0.753,0.619,0.717
18,indian_pines,0.737,0.636,0.699
19,indian_pines,0.739,0.624,0.701
0,paviaU,0.909,0.887,0.879
1,paviaU,0.913,0.889,0.885
2,paviaU,0.914,0.896,0.886
3,paviaU,0.916,0.894,0.889
4,paviaU,0.921,0.905,0.895
5,paviaU,0.925,0.902,0.901
6,paviaU,0.925,0.904,0.901
7,paviaU,0.925,0.901,0.9
8,paviaU,0.92,0.895,0.894
9,paviaU,0.924,0.908,0.899
10,paviaU,0.921,0.898,0.895
11,paviaU,0.919,0.898,0.892
12,paviaU,0.922,0.9,0.896
13,paviaU,0.923,0.903,0.898
14,paviaU,0.921,0.901,0.895
15,paviaU,0.921,0.899,0.895
16,paviaU,0.919,0.901,0.892
17,paviaU,0.918,0.894,0.891
18,paviaU,0.926,0.905,0.902
19,paviaU,0.925,0.907,0.901
0,salinas,0.923,0.961,0.915
1,salinas,0.925,0.964,0.916
2,salinas,0.918,0.961,0.909
3,salinas,0.917,0.957,0.908
4,salinas,0.923,0.961,0.915
5,salinas,0.925,0.96,0.916
6,salinas,0.924,0.96,0.915
7,salinas,0.917,0.958,0.907
8,salinas,0.919,0.958,0.909
9,salinas,0.918,0.957,0.909
10,salinas,0.919,0.96,0.91
11,salinas,0.917,0.96,0.907
12,salinas,0.92,0.958,0.91
13,salinas,0.923,0.962,0.914
14,salinas,0.919,0.959,0.91
15,salinas,0.919,0.961,0.91
16,salinas,0.918,0.96,0.909
17,salinas,0.921,0.96,0.912
18,salinas,0.917,0.957,0.908
19,salinas,0.925,0.964,0.916
0,ghisaconus,0.733,0.641,0.627
1,ghisaconus,0.732,0.66,0.627
2,ghisaconus,0.713,0.649,0.602
3,ghisaconus,0.708,0.608,0.591
4,ghisaconus,0.72,0.633,0.61
5,ghisaconus,0.721,0.63,0.612
6,ghisaconus,0.723,0.69,0.615
7,ghisaconus,0.743,0.665,0.642
8,ghisaconus,0.733,0.653,0.625
9,ghisaconus,0.704,0.661,0.588
10,ghisaconus,0.695,0.628,0.576
11,ghisaconus,0.712,0.644,0.598
12,ghisaconus,0.71,0.633,0.595
13,ghisaconus,0.7,0.648,0.583
14,ghisaconus,0.726,0.667,0.618
15,ghisaconus,0.72,0.676,0.611
16,ghisaconus,0.731,0.687,0.627
17,ghisaconus,0.708,0.612,0.593
18,ghisaconus,0.74,0.638,0.637
19,ghisaconus,0.701,0.649,0.584
0,lucas_r,0.118,0.129,0
1,lucas_r,0.137,0.127,0
2,lucas_r,0.143,0.126,0
3,lucas_r,0.125,0.129,0
4,lucas_r,0.129,0.128,0
5,lucas_r,0.075,0.132,0
6,lucas_r,0.118,0.128,0
7,lucas_r,0.101,0.13,0
8,lucas_r,0.136,0.127,0
9,lucas_r,0.122,0.128,0
10,lucas_r,0.078,0.132,0
11,lucas_r,0.115,0.128,0
12,lucas_r,0.123,0.128,0
13,lucas_r,0.113,0.13,0
14,lucas_r,0.13,0.127,0
15,lucas_r,0.12,0.128,0
16,lucas_r,0.118,0.128,0
17,lucas_r,0.156,0.125,0
18,lucas_r,0.12,0.129,0
19,lucas_r,0.133,0.127,0
0,indian_pines,0.746,0.624,0.709
1,indian_pines,0.742,0.608,0.703
2,indian_pines,0.724,0.608,0.685
3,indian_pines,0.747,0.649,0.71
4,indian_pines,0.743,0.601,0.705
5,indian_pines,0.746,0.634,0.709
6,indian_pines,0.75,0.63,0.713
7,indian_pines,0.758,0.648,0.723
8,indian_pines,0.735,0.615,0.697
9,indian_pines,0.726,0.59,0.686
10,indian_pines,0.744,0.62,0.706
11,indian_pines,0.739,0.645,0.701
12,indian_pines,0.724,0.62,0.685
13,indian_pines,0.74,0.616,0.701
14,indian_pines,0.74,0.642,0.702
15,indian_pines,0.742,0.643,0.704
16,indian_pines,0.737,0.622,0.699
17,indian_pines,0.748,0.665,0.711
18,indian_pines,0.742,0.636,0.705
19,indian_pines,0.738,0.595,0.7
0,paviaU,0.913,0.893,0.884
1,paviaU,0.917,0.902,0.89
2,paviaU,0.923,0.902,0.898
3,paviaU,0.924,0.897,0.898
4,paviaU,0.921,0.901,0.895
5,paviaU,0.926,0.908,0.902
6,paviaU,0.916,0.899,0.888
7,paviaU,0.926,0.898,0.902
8,paviaU,0.924,0.903,0.899
9,paviaU,0.924,0.905,0.899
10,paviaU,0.914,0.889,0.886
11,paviaU,0.921,0.901,0.895
12,paviaU,0.921,0.898,0.895
13,paviaU,0.921,0.892,0.895
14,paviaU,0.924,0.899,0.899
15,paviaU,0.922,0.906,0.896
16,paviaU,0.915,0.898,0.887
17,paviaU,0.925,0.902,0.901
18,paviaU,0.921,0.903,0.895
19,paviaU,0.923,0.905,0.898
0,salinas,0.922,0.961,0.914
1,salinas,0.921,0.957,0.912
2,salinas,0.916,0.96,0.906
3,salinas,0.92,0.96,0.911
4,salinas,0.921,0.959,0.912
5,salinas,0.919,0.956,0.909
6,salinas,0.916,0.959,0.906
7,salinas,0.919,0.956,0.91
8,salinas,0.922,0.961,0.913
9,salinas,0.922,0.958,0.913
10,salinas,0.923,0.962,0.914
11,salinas,0.923,0.958,0.915
12,salinas,0.921,0.961,0.913
13,salinas,0.92,0.962,0.911
14,salinas,0.921,0.961,0.912
15,salinas,0.924,0.963,0.915
16,salinas,0.922,0.961,0.914
17,salinas,0.912,0.956,0.903
18,salinas,0.918,0.955,0.909
19,salinas,0.925,0.963,0.917
0,ghisaconus,0.728,0.641,0.619
1,ghisaconus,0.733,0.653,0.627
2,ghisaconus,0.718,0.632,0.606
3,ghisaconus,0.721,0.652,0.61
4,ghisaconus,0.708,0.618,0.589
5,ghisaconus,0.732,0.64,0.624
6,ghisaconus,0.736,0.633,0.628
7,ghisaconus,0.712,0.617,0.598
8,ghisaconus,0.72,0.691,0.609
9,ghisaconus,0.722,0.661,0.614
10,ghisaconus,0.734,0.654,0.63
11,ghisaconus,0.721,0.659,0.612
12,ghisaconus,0.733,0.643,0.625
13,ghisaconus,0.707,0.615,0.592
14,ghisaconus,0.726,0.655,0.616
15,ghisaconus,0.723,0.65,0.614
16,ghisaconus,0.725,0.664,0.616
17,ghisaconus,0.735,0.638,0.629
18,ghisaconus,0.74,0.61,0.636
19,ghisaconus,0.716,0.667,0.602
0,lucas_r,0.102,0.13,0
1,lucas_r,0.125,0.129,0
2,lucas_r,0.139,0.127,0
3,lucas_r,0.134,0.127,0
4,lucas_r,0.152,0.126,0
5,lucas_r,0.161,0.125,0
6,lucas_r,0.121,0.129,0
7,lucas_r,0.126,0.128,0
8,lucas_r,0.134,0.127,0
9,lucas_r,0.11,0.129,0
10,lucas_r,0.151,0.126,0
11,lucas_r,0.149,0.125,0
12,lucas_r,0.111,0.128,0
13,lucas_r,0.146,0.127,0
14,lucas_r,0.07,0.132,0
15,lucas_r,0.104,0.13,0
16,lucas_r,0.176,0.125,0
17,lucas_r,0.141,0.127,0
18,lucas_r,0.125,0.128,0
19,lucas_r,0.103,0.129,0
