dataset,target_size,algorithm,props,oa,aa,k,fold
ghisaconus_health,2,c4,0,0.51,0.44,0.38,0
ghisaconus_health,2,c4,0,0.5,0.42,0.36,1
ghisaconus_health,2,c4,0,0.48,0.38,0.33,2
ghisaconus_health,2,c4,0,0.48,0.38,0.34,3
ghisaconus_health,2,c4,0,0.5,0.4,0.36,4
ghisaconus_health,2,c4,0,0.49,0.43,0.36,5
ghisaconus_health,2,c4,0,0.5,0.43,0.37,6
ghisaconus_health,2,c4,0,0.5,0.43,0.37,7
ghisaconus_health,2,c4,0,0.5,0.43,0.36,8
ghisaconus_health,2,c4,0,0.5,0.41,0.37,9
ghisaconus_health,2,c4,0,0.5,0.42,0.37,10
ghisaconus_health,2,c4,0,0.5,0.44,0.37,11
ghisaconus_health,2,c4,0,0.48,0.37,0.33,12
ghisaconus_health,2,c4,0,0.5,0.4,0.36,13
ghisaconus_health,2,c4,0,0.48,0.38,0.33,14
ghisaconus_health,2,c4,0,0.5,0.41,0.37,15
ghisaconus_health,2,c4,0,0.5,0.41,0.37,16
ghisaconus_health,2,c4,0,0.49,0.44,0.36,17
ghisaconus_health,2,c4,0,0.49,0.39,0.35,18
ghisaconus_health,2,c4,0,0.5,0.41,0.36,19
ghisaconus_health,3,c4,0,0.5,0.44,0.37,0
ghisaconus_health,3,c4,0,0.49,0.42,0.36,1
ghisaconus_health,3,c4,0,0.49,0.42,0.35,2
ghisaconus_health,3,c4,0,0.5,0.4,0.36,3
ghisaconus_health,3,c4,0,0.48,0.4,0.35,4
ghisaconus_health,3,c4,0,0.5,0.45,0.38,5
ghisaconus_health,3,c4,0,0.5,0.42,0.37,6
ghisaconus_health,3,c4,0,0.51,0.44,0.38,7
ghisaconus_health,3,c4,0,0.5,0.42,0.36,8
ghisaconus_health,3,c4,0,0.5,0.42,0.36,9
ghisaconus_health,3,c4,0,0.5,0.44,0.37,10
ghisaconus_health,3,c4,0,0.5,0.43,0.37,11
ghisaconus_health,3,c4,0,0.51,0.41,0.37,12
ghisaconus_health,3,c4,0,0.49,0.41,0.36,13
ghisaconus_health,3,c4,0,0.49,0.42,0.36,14
ghisaconus_health,3,c4,0,0.5,0.42,0.37,15
ghisaconus_health,3,c4,0,0.5,0.41,0.37,16
ghisaconus_health,3,c4,0,0.49,0.42,0.36,17
ghisaconus_health,3,c4,0,0.48,0.41,0.34,18
ghisaconus_health,3,c4,0,0.5,0.42,0.36,19
ghisaconus_health,4,c4,0,0.55,0.51,0.44,0
ghisaconus_health,4,c4,0,0.54,0.48,0.43,1
ghisaconus_health,4,c4,0,0.54,0.49,0.42,2
ghisaconus_health,4,c4,0,0.55,0.5,0.44,3
ghisaconus_health,4,c4,0,0.54,0.49,0.43,4
ghisaconus_health,4,c4,0,0.54,0.49,0.43,5
ghisaconus_health,4,c4,0,0.55,0.48,0.42,6
ghisaconus_health,4,c4,0,0.55,0.48,0.43,7
ghisaconus_health,4,c4,0,0.55,0.48,0.43,8
ghisaconus_health,4,c4,0,0.56,0.5,0.45,9
ghisaconus_health,4,c4,0,0.56,0.51,0.45,10
ghisaconus_health,4,c4,0,0.53,0.48,0.41,11
ghisaconus_health,4,c4,0,0.56,0.49,0.44,12
ghisaconus_health,4,c4,0,0.54,0.47,0.42,13
ghisaconus_health,4,c4,0,0.55,0.47,0.43,14
ghisaconus_health,4,c4,0,0.55,0.5,0.43,15
ghisaconus_health,4,c4,0,0.54,0.47,0.42,16
ghisaconus_health,4,c4,0,0.54,0.5,0.43,17
ghisaconus_health,4,c4,0,0.51,0.47,0.39,18
ghisaconus_health,4,c4,0,0.53,0.48,0.41,19
ghisaconus_health,5,c4,0,0.64,0.58,0.55,0
ghisaconus_health,5,c4,0,0.63,0.56,0.54,1
ghisaconus_health,5,c4,0,0.63,0.59,0.54,2
ghisaconus_health,5,c4,0,0.61,0.55,0.5,3
ghisaconus_health,5,c4,0,0.6,0.55,0.5,4
ghisaconus_health,5,c4,0,0.64,0.59,0.55,5
ghisaconus_health,5,c4,0,0.62,0.55,0.52,6
ghisaconus_health,5,c4,0,0.64,0.58,0.55,7
ghisaconus_health,5,c4,0,0.64,0.58,0.54,8
ghisaconus_health,5,c4,0,0.63,0.55,0.53,9
ghisaconus_health,5,c4,0,0.63,0.6,0.54,10
ghisaconus_health,5,c4,0,0.66,0.61,0.57,11
ghisaconus_health,5,c4,0,0.63,0.57,0.54,12
ghisaconus_health,5,c4,0,0.65,0.61,0.56,13
ghisaconus_health,5,c4,0,0.62,0.56,0.53,14
ghisaconus_health,5,c4,0,0.63,0.58,0.54,15
ghisaconus_health,5,c4,0,0.63,0.59,0.54,16
ghisaconus_health,5,c4,0,0.65,0.6,0.56,17
ghisaconus_health,5,c4,0,0.63,0.59,0.53,18
ghisaconus_health,5,c4,0,0.63,0.58,0.54,19
ghisaconus_health,6,c4,0,0.64,0.59,0.55,0
ghisaconus_health,6,c4,0,0.63,0.56,0.54,1
ghisaconus_health,6,c4,0,0.63,0.58,0.54,2
ghisaconus_health,6,c4,0,0.62,0.56,0.52,3
ghisaconus_health,6,c4,0,0.62,0.56,0.52,4
ghisaconus_health,6,c4,0,0.65,0.59,0.56,5
ghisaconus_health,6,c4,0,0.63,0.56,0.53,6
ghisaconus_health,6,c4,0,0.62,0.56,0.53,7
ghisaconus_health,6,c4,0,0.64,0.58,0.54,8
ghisaconus_health,6,c4,0,0.63,0.56,0.54,9
ghisaconus_health,6,c4,0,0.65,0.62,0.56,10
ghisaconus_health,6,c4,0,0.65,0.6,0.56,11
ghisaconus_health,6,c4,0,0.64,0.56,0.54,12
ghisaconus_health,6,c4,0,0.64,0.61,0.55,13
ghisaconus_health,6,c4,0,0.62,0.55,0.52,14
ghisaconus_health,6,c4,0,0.63,0.58,0.54,15
ghisaconus_health,6,c4,0,0.62,0.58,0.53,16
