fold,dataset,oa,aa,k
0,ghisaconus_health,0.677,0.614,0.596
1,ghisaconus_health,0.697,0.629,0.621
2,ghisaconus_health,0.702,0.651,0.627
3,ghisaconus_health,0.689,0.624,0.61
4,ghisaconus_health,0.715,0.671,0.644
5,ghisaconus_health,0.7,0.641,0.625
6,ghisaconus_health,0.674,0.604,0.591
7,ghisaconus_health,0.686,0.608,0.606
8,ghisaconus_health,0.699,0.635,0.624
9,ghisaconus_health,0.695,0.636,0.62
10,ghisaconus_health,0.691,0.634,0.614
11,ghisaconus_health,0.696,0.66,0.621
12,ghisaconus_health,0.687,0.624,0.61
13,ghisaconus_health,0.693,0.628,0.617
14,ghisaconus_health,0.699,0.646,0.624
15,ghisaconus_health,0.69,0.627,0.613
16,ghisaconus_health,0.692,0.638,0.615
17,ghisaconus_health,0.697,0.627,0.621
18,ghisaconus_health,0.707,0.646,0.633
19,ghisaconus_health,0.707,0.641,0.633
