dataset,target_size,algorithm,props,oa,aa,k,fold
ghisaconus_health,2,c2,0,0.51,0.42,0.38,0
ghisaconus_health,2,c2,0,0.5,0.41,0.36,1
ghisaconus_health,2,c2,0,0.5,0.41,0.37,2
ghisaconus_health,2,c2,0,0.51,0.42,0.37,3
ghisaconus_health,2,c2,0,0.5,0.41,0.37,4
ghisaconus_health,2,c2,0,0.5,0.42,0.36,5
ghisaconus_health,2,c2,0,0.49,0.4,0.36,6
ghisaconus_health,2,c2,0,0.5,0.41,0.36,7
ghisaconus_health,2,c2,0,0.52,0.42,0.39,8
ghisaconus_health,2,c2,0,0.51,0.44,0.38,9
ghisaconus_health,2,c2,0,0.5,0.42,0.37,10
ghisaconus_health,2,c2,0,0.51,0.44,0.38,11
ghisaconus_health,2,c2,0,0.5,0.41,0.36,12
ghisaconus_health,2,c2,0,0.49,0.4,0.34,13
ghisaconus_health,2,c2,0,0.51,0.42,0.38,14
ghisaconus_health,2,c2,0,0.51,0.42,0.38,15
ghisaconus_health,2,c2,0,0.51,0.44,0.38,16
ghisaconus_health,2,c2,0,0.51,0.42,0.38,17
ghisaconus_health,2,c2,0,0.51,0.43,0.38,18
ghisaconus_health,2,c2,0,0.49,0.4,0.35,19
ghisaconus_health,3,c2,0,0.54,0.48,0.42,0
ghisaconus_health,3,c2,0,0.54,0.48,0.43,1
ghisaconus_health,3,c2,0,0.55,0.46,0.43,2
ghisaconus_health,3,c2,0,0.54,0.47,0.42,3
ghisaconus_health,3,c2,0,0.54,0.48,0.42,4
ghisaconus_health,3,c2,0,0.52,0.47,0.4,5
ghisaconus_health,3,c2,0,0.53,0.46,0.41,6
ghisaconus_health,3,c2,0,0.54,0.47,0.42,7
ghisaconus_health,3,c2,0,0.54,0.47,0.42,8
ghisaconus_health,3,c2,0,0.53,0.47,0.41,9
ghisaconus_health,3,c2,0,0.55,0.5,0.44,10
ghisaconus_health,3,c2,0,0.54,0.49,0.43,11
ghisaconus_health,3,c2,0,0.54,0.48,0.43,12
ghisaconus_health,3,c2,0,0.53,0.49,0.42,13
ghisaconus_health,3,c2,0,0.55,0.47,0.43,14
ghisaconus_health,3,c2,0,0.53,0.47,0.42,15
ghisaconus_health,3,c2,0,0.53,0.5,0.42,16
ghisaconus_health,3,c2,0,0.54,0.47,0.42,17
ghisaconus_health,3,c2,0,0.54,0.48,0.43,18
ghisaconus_health,3,c2,0,0.54,0.48,0.42,19
ghisaconus_health,4,c2,0,0.64,0.57,0.55,0
ghisaconus_health,4,c2,0,0.64,0.57,0.55,1
ghisaconus_health,4,c2,0,0.64,0.57,0.55,2
ghisaconus_health,4,c2,0,0.66,0.58,0.57,3
ghisaconus_health,4,c2,0,0.65,0.6,0.56,4
ghisaconus_health,4,c2,0,0.63,0.56,0.54,5
ghisaconus_health,4,c2,0,0.65,0.57,0.56,6
ghisaconus_health,4,c2,0,0.65,0.57,0.56,7
